{
LOOK                        "ОБЗОР"
CONTROLS                    "УПРАВЛЕНИЕ"
MOUSE_SETTINGS              "^2Настройки мыши"
MOUSE_SENS                  "Чувств. мыши:"
MOUSE_INVERT                "Инверсия мыши:"
MOUSE_SMOOTH                "Сглаживание мыши:"
MOUSE_ACCEL                 "Тип акселерации мыши:"
MOUSE_ACCEL_STYLE1          "Обычный"
MOUSE_ACCEL_STYLE2          "Quake Live"
GAMEPAD_SETTINGS            "^2Настройки геймпада"
GAMEPAD_ENABLE              "Включить геймпад:"
GAMEPAD_ANALOG              "Аналог. джойстик:"
GAMEPAD_FW                  "Вперед-назад чувст-ть:"
GAMEPAD_LFT                 "Влево-вправо чувст-ть:"
GAMEPAD_UP                  "Вверх-вниз чувст-ть:"
GAMEPAD_PITCH               "Pitch:"
GAMEPAD_YAW                 "Yaw:"
CONTROLS_MOVE               "ДВИЖЕНИЕ"
CONTROLS_FWD                "Вперед:"
CONTROLS_BWD                "Назад:"
CONTROLS_LFT                "Влево:"
CONTROLS_RGT                "Вправо:"
CONTROLS_TRNLFT             "Повернуться налево:"
CONTROLS_TRNRGT             "Повернуться направо:"
CONTROLS_STRAFE             "Стрейф:"
CONTROLS_JUMP               "Прыжок:"
CONTROLS_CROUCH             "Присесть:"
CONTROLS_SPRINT             "Спринт:"
CONTROLS_WALK               "Бежать / Идти:"
CONTROLS_ALWAYSRUN          "Всегда бег (это не спринт):"
CONTROLS_LEANLEFT           "Наклон влево:"
CONTROLS_LEANRIGHT          "Наклон вправо:"
CONTROLS_SHOOT              "СТРЕЛЬБА"
CONTROLS_ATTACK             "Огонь:"
CONTROLS_ALTFIRE            "Альт.режим стрельбы:"
CONTROLS_ALTERNATE          "Переключ. на модуль:"
CONTROLS_NEXTWPN            "След. оружие:"
CONTROLS_PREVWPN            "Пред. оружие:"
CONTROLS_RELOAD             "Перезарядка:"
CONTROLS_KNIFE              "Ножи:"
CONTROLS_PISTOLS            "Пистолеты:"
CONTROLS_SMGS               "ПП:"
CONTROLS_RIFLES             "Винтовки:"
CONTROLS_AUTORIFLES         "Самозарядные винтовки:"
CONTROLS_ASSAULTRIFLES      "Штурмовые винтовки:"
CONTROLS_SHOTGUN            "Дробовики:"
CONTROLS_GRENADES           "Гранаты:"
CONTROLS_HEAVY              "Тяжелое оружие:"
CONTROLS_SECRET             "Секретное оружие:"
CONTROLS_SHOOT_ADVANCED     "БОЛЬШЕ..."
CONTROLS_LASTWEAPUSED       "Последнее оружие:"
CONTROLS_NEXTWPNBANK        "След. оружие в слоте:"
CONTROLS_PREVWPNBANK        "Пред. оружие в слоте:"
CONTROLS_USEWEAPCYCLE       "Исп. цикл оружия"
CONTROLS_FORZOOMING         "Для зума:"
OFF                         "Выкл."
ONNORMAL                    "Вкл. (норма)"
ONREVERSE                   "Вкл. (реверс)"
CONTROLS_MISC               "ПРОЧЕЕ"
CONTROLS_ACTIONS            "^2Действия"
CONTROLS_ACTIVATE           "Использовать:"
CONTROLS_AUTOPICKUP         "Авто подбор:"
CONTROLS_AUTORELOAD         "Авто перезарядка:"
CONTROLS_AUTOSWITCH         "Авто переключение оружия:"
CONTROLS_ALWAYSSWITCH       "Всегда"
CONTROLS_IFNEW              "Если новое"
CONTROLS_IFBETTER           "Если лучше"
CONTROLS_NEWORBETTER        "Новее или лучше"
CONTROLS_NEWANDBETTER       "Новее и лучше"
CONTROLS_KICK               "Удар ногой:"
CONTROLS_KILLPLAYER         "Цианид (убить игрока):"
CONTROLS_INVENTORY          "^2Инвентарь"
CONTROLS_NEXTITEM           "След.предмет в инвентаре:"
CONTROLS_PREVITEM           "Пред.предмет в инвентаре:"
CONTROLS_USEITEM            "Использовать предмет:"
CONTROLS_NOTEBOOK           "Записная книжка:"
CONTROLS_BINOCS             "Бинокль:"
CONTROLS_SAVELOAD           "^2Сохранение/Загрузка"
CONTROLS_QUICKSAVE          "Быстрое сохранение:"
CONTROLS_QUICKLOAD          "Быстрая загрузка:"
SYSTEM                      "СИСТЕМА"
SYSTEM_DISPLAY              "ЭКРАН"
SYSTEM_DISPLAYSETTINGS      "^2Настройки экрана"
SYSTEM_RESOLUTION           "Разрешение:"
SYSTEM_ASPECTRATIO          "Соотношение сторон:"
SYSTEM_WIDESCREEN           "Широкоформат"
SYSTEM_FULLSCREEN           "Полный экран:"
SYSTEM_BRIGHTNESS           "Яркость:"
SYSTEM_REFRESHRATE          "^2Частота обновления / Кадры в секунду"
SYSTEM_VSYNC                "Верт. синхронизация:"
SYSTEM_SHOWFPS              "Показывать FPS:"
SYSTEM_MAXFPS               "Максимальный FPS:"
SYSTEM_GRAPHICS             "ГРАФИКА"
